No,Nama Peminatan,Kode,Mata Kuliah,SKS
1.,Teknik Produksi / Production Engineering,TKI214801,Rekayasa Keandalan/ Reliability Engineering,3
2.,Teknik Produksi / Production Engineering,TKI214802,"Sistem Manajemen Perawatan/ Maintenance
Management System",3
3.,Teknik Produksi / Production Engineering,TKI214803,Statistika Multivariat/ Multivariate Statistics,3
4.,Teknik Produksi / Production Engineering,TKI214804,"Rantai Pasok pada bidang Kemanusiaan dan
Kesehatan / Humanitarian and Healthcare Supply
Chain",3
5.,Teknik Produksi / Production Engineering,TKI214805,"Keputusan dan Kebijakan Energi / Energy Decisions
and Policies",3
6.,Teknik Produksi / Production Engineering,TKI214806,"Manajemen Teknologi dan Inovasi/ Technology &
Innovation Management",3
7.,Teknik Produksi / Production Engineering,TKI214807,Manajemen Strategi/Strategic Management,3
8.,Teknik Produksi / Production Engineering,TKI214808,Engineering Professional Development,3
9.,Teknik Produksi / Production Engineering,TKI214809,Ekologi Industri / Industrial Ecology,3
10.,Teknik Produksi / Production Engineering,"TKI214810
-
TKI214819","Topik mutakhir dalam bidang Teknik Produksi/
Current topics in Production Engineering",3
