Nama,Minat dan Keahlian
"Ir. I Made Suardjaja, MSc., Ph.D.",Energy Conversion/ Combustion
"Dr. Ir. Prajitno, M.T.","Heat and Mass Transfer, Refrigeration and AC."
"Ir. Purnomo, MSME, Ph.D.",Konversi Energi
"Ir. Soekrisno, MSME, Ph.D.",Fatique and Surface Treatment
"Ir. Hermawan, M.Si.",Fluid Mechanics and Fluid Machinaries
"Ir. Janu Pardadi, M.T., IPM",Manufacturing Engineering
"Dr. Ir. Mudjijana, M.Eng.",Corrosion and Fracture Mechanics
"Dr. Ir. Suhanan, DEA","Heat transfer, and low temperature refrigeration"
"Dr. Ir. Viktor Malau, DEA., IPU., ASEAN Eng.","Surface Treatment and Characterization, Corrosion, Engineering materials,  Casting Metallurgy"
"Professor.  Dr. Ir. Indarto, DEA., IPM., ASEAN Eng.",Two Phase Flow and Fluid Dynamics
"Professor.  Ir., Samsul Kamal, M.Sc., Ph.D.",Energy conversion and conservation
"Dr. Teguh Pudji Purwanto, M.T., IPM., ASEAN Eng.","Vibration and Control, Additive Manufacturing, Instrumentation"
